;contractID;symbol;expiration;strike;type;last;mark;bid;bid_size;ask;ask_size;volume;open_interest;date;implied_volatility;delta;gamma;theta;vega;rho;underlying;price_date
26;AAPL250314C00167500;AAPL;2025-03-14;167.50;call;0.00;49.55;49.25;9;49.85;9;0;0;2025-03-12;1.35867;0.99568;0.00058;-0.08897;0.00204;0.00912;AAPL;2025-03-12
27;AAPL250314P00167500;AAPL;2025-03-14;167.50;put;0.01;0.01;0.00;0;0.02;1;228;5;2025-03-12;1.21584;-0.00173;0.00028;-0.02710;0.00089;-0.00002;AAPL;2025-03-12
28;AAPL250314C00170000;AAPL;2025-03-14;170.00;call;48.56;47.05;46.75;9;47.35;9;5;14;2025-03-12;1.28535;0.99553;0.00063;-0.08753;0.00210;0.00926;AAPL;2025-03-12
29;AAPL250314P00170000;AAPL;2025-03-14;170.00;put;0.01;0.01;0.01;23;0.02;1;977;2282;2025-03-12;1.15182;-0.00182;0.00032;-0.02691;0.00094;-0.00002;AAPL;2025-03-12
30;AAPL250314C00172500;AAPL;2025-03-14;172.50;call;0.00;44.55;44.25;9;44.85;9;0;0;2025-03-12;1.21310;0.99537;0.00069;-0.08611;0.00217;0.00939;AAPL;2025-03-12
31;AAPL250314P00172500;AAPL;2025-03-14;172.50;put;0.02;0.01;0.00;0;0.02;1;4;331;2025-03-12;1.08840;-0.00192;0.00035;-0.02668;0.00098;-0.00002;AAPL;2025-03-12
32;AAPL250314C00175000;AAPL;2025-03-14;175.00;call;52.45;42.05;41.75;9;42.35;9;0;44;2025-03-12;1.14176;0.99519;0.00076;-0.08467;0.00224;0.00953;AAPL;2025-03-12
33;AAPL250314P00175000;AAPL;2025-03-14;175.00;put;0.02;0.02;0.01;24;0.03;10;311;2228;2025-03-12;1.09892;-0.00361;0.00061;-0.04754;0.00173;-0.00004;AAPL;2025-03-12
34;AAPL250314C00177500;AAPL;2025-03-14;177.50;call;0.00;39.55;39.25;5;39.85;5;0;0;2025-03-12;1.07133;0.99499;0.00084;-0.08324;0.00233;0.00966;AAPL;2025-03-12
35;AAPL250314P00177500;AAPL;2025-03-14;177.50;put;0.03;0.02;0.01;208;0.03;13;215;55;2025-03-12;1.03322;-0.00382;0.00069;-0.04711;0.00183;-0.00005;AAPL;2025-03-12
36;AAPL250314C00180000;AAPL;2025-03-14;180.00;call;37.38;37.08;36.80;9;37.35;9;3;165;2025-03-12;1.09511;0.99057;0.00144;-0.13240;0.00407;0.00975;AAPL;2025-03-12
37;AAPL250314P00180000;AAPL;2025-03-14;180.00;put;0.02;0.03;0.02;5;0.03;5;1977;3643;2025-03-12;1.01249;-0.00564;0.00099;-0.06532;0.00259;-0.00007;AAPL;2025-03-12
38;AAPL250314C00182500;AAPL;2025-03-14;182.50;call;33.75;34.58;34.30;5;34.85;9;2;0;2025-03-12;1.02225;0.99004;0.00162;-0.13038;0.00426;0.00988;AAPL;2025-03-12
39;AAPL250314P00182500;AAPL;2025-03-14;182.50;put;0.02;0.06;0.02;224;0.10;128;51;648;2025-03-12;1.02987;-0.01041;0.00167;-0.11386;0.00443;-0.00013;AAPL;2025-03-12
40;AAPL250314C00185000;AAPL;2025-03-14;185.00;call;30.45;32.08;31.80;5;32.35;5;18;62;2025-03-12;0.94999;0.98944;0.00183;-0.12824;0.00449;0.01001;AAPL;2025-03-12
41;AAPL250314P00185000;AAPL;2025-03-14;185.00;put;0.05;0.04;0.03;122;0.04;11;1829;4433;2025-03-12;0.90975;-0.00809;0.00151;-0.08063;0.00355;-0.00010;AAPL;2025-03-12
42;AAPL250314C00187500;AAPL;2025-03-14;187.50;call;28.20;29.58;29.30;9;29.85;9;17;14;2025-03-12;0.87820;0.98877;0.00209;-0.12592;0.00474;0.01013;AAPL;2025-03-12
43;AAPL250314P00187500;AAPL;2025-03-14;187.50;put;0.05;0.06;0.03;245;0.09;71;325;250;2025-03-12;0.88749;-0.01193;0.00218;-0.11046;0.00499;-0.00015;AAPL;2025-03-12
44;AAPL250314C00190000;AAPL;2025-03-14;190.00;call;26.40;27.10;26.80;9;27.40;9;18;86;2025-03-12;0.84283;0.98474;0.00284;-0.15220;0.00617;0.01022;AAPL;2025-03-12
45;AAPL250314P00190000;AAPL;2025-03-14;190.00;put;0.05;0.04;0.04;217;0.05;6;662;4378;2025-03-12;0.77408;-0.00938;0.00203;-0.07812;0.00405;-0.00011;AAPL;2025-03-12
46;AAPL250314C00192500;AAPL;2025-03-14;192.50;call;24.35;24.60;24.30;5;24.90;5;19;50;2025-03-12;0.76981;0.98355;0.00331;-0.14908;0.00658;0.01035;AAPL;2025-03-12
47;AAPL250314P00192500;AAPL;2025-03-14;192.50;put;0.05;0.11;0.05;197;0.16;9;156;283;2025-03-12;0.81737;-0.02207;0.00401;-0.17217;0.00845;-0.00027;AAPL;2025-03-12
48;AAPL250314C00195000;AAPL;2025-03-14;195.00;call;20.70;22.15;21.90;9;22.40;9;10;68;2025-03-12;0.75670;0.97375;0.00501;-0.20742;0.00978;0.01036;AAPL;2025-03-12
49;AAPL250314P00195000;AAPL;2025-03-14;195.00;put;0.06;0.07;0.06;232;0.08;51;1236;3020;2025-03-12;0.69192;-0.01719;0.00383;-0.11781;0.00684;-0.00021;AAPL;2025-03-12
50;AAPL250314C00197500;AAPL;2025-03-14;197.50;call;18.95;19.65;19.35;9;19.95;9;51;13;2025-03-12;0.67988;0.97122;0.00602;-0.20214;0.01056;0.01047;AAPL;2025-03-12
51;AAPL250314P00197500;AAPL;2025-03-14;197.50;put;0.08;0.10;0.08;189;0.12;60;967;545;2025-03-12;0.65655;-0.02472;0.00549;-0.15201;0.00930;-0.00030;AAPL;2025-03-12
52;AAPL250314C00200000;AAPL;2025-03-14;200.00;call;15.80;17.17;16.90;9;17.45;9;126;2735;2025-03-12;0.61951;0.96447;0.00786;-0.21741;0.01257;0.01053;AAPL;2025-03-12
53;AAPL250314P00200000;AAPL;2025-03-14;200.00;put;0.11;0.11;0.11;329;0.12;6;6221;7173;2025-03-12;0.59162;-0.02951;0.00706;-0.15867;0.01078;-0.00036;AAPL;2025-03-12
54;AAPL250314C00202500;AAPL;2025-03-14;202.50;call;13.20;14.72;14.45;9;15.00;9;79;10;2025-03-12;0.57378;0.95083;0.01104;-0.25721;0.01635;0.01050;AAPL;2025-03-12
55;AAPL250314P00202500;AAPL;2025-03-14;202.50;put;0.15;0.15;0.13;15;0.17;1;3895;1546;2025-03-12;0.54634;-0.04147;0.01011;-0.19359;0.01425;-0.00050;AAPL;2025-03-12
56;AAPL250314C00205000;AAPL;2025-03-14;205.00;call;12.40;12.30;12.00;9;12.60;9;456;132;2025-03-12;0.53095;0.92932;0.01586;-0.31084;0.02173;0.01038;AAPL;2025-03-12
57;AAPL250314P00205000;AAPL;2025-03-14;205.00;put;0.24;0.25;0.24;217;0.26;24;13096;5723;2025-03-12;0.52104;-0.06707;0.01552;-0.27003;0.02087;-0.00081;AAPL;2025-03-12
58;AAPL250314C00207500;AAPL;2025-03-14;207.50;call;10.00;10.00;9.75;10;10.25;9;177;84;2025-03-12;0.51387;0.88487;0.02354;-0.42243;0.03120;0.00997;AAPL;2025-03-12
59;AAPL250314P00207500;AAPL;2025-03-14;207.50;put;0.41;0.41;0.39;20;0.42;24;10871;1823;2025-03-12;0.49375;-0.10619;0.02312;-0.36067;0.02944;-0.00128;AAPL;2025-03-12
60;AAPL250314C00210000;AAPL;2025-03-14;210.00;call;7.82;7.70;7.60;5;7.80;1;3332;3922;2025-03-12;0.46647;0.83425;0.03323;-0.48689;0.03999;0.00950;AAPL;2025-03-12
61;AAPL250314P00210000;AAPL;2025-03-14;210.00;put;0.64;0.67;0.65;23;0.69;23;36390;10871;2025-03-12;0.46647;-0.16575;0.03323;-0.46198;0.03999;-0.00201;AAPL;2025-03-12
62;AAPL250314C00212500;AAPL;2025-03-14;212.50;call;5.70;5.70;5.60;1;5.80;1;2051;142;2025-03-12;0.45534;0.73985;0.04437;-0.61161;0.05211;0.00848;AAPL;2025-03-12
63;AAPL250314P00212500;AAPL;2025-03-14;212.50;put;1.12;1.13;1.11;12;1.15;12;15937;4175;2025-03-12;0.44772;-0.25680;0.04482;-0.57266;0.05176;-0.00312;AAPL;2025-03-12
64;AAPL250314C00215000;AAPL;2025-03-14;215.00;call;4.00;3.92;3.85;9;4.00;9;11755;897;2025-03-12;0.43705;0.62053;0.05422;-0.68342;0.06113;0.00716;AAPL;2025-03-12
65;AAPL250314P00215000;AAPL;2025-03-14;215.00;put;1.80;1.89;1.84;6;1.94;6;48597;7640;2025-03-12;0.43720;-0.37951;0.05420;-0.65817;0.06113;-0.00462;AAPL;2025-03-12
66;AAPL250314C00217500;AAPL;2025-03-14;217.50;call;2.52;2.49;2.46;10;2.52;10;39812;1327;2025-03-12;0.42363;0.47883;0.05855;-0.68970;0.06399;0.00556;AAPL;2025-03-12
67;AAPL250314P00217500;AAPL;2025-03-14;217.50;put;2.92;2.96;2.91;2;3.00;2;26870;3826;2025-03-12;0.42394;-0.52114;0.05851;-0.66439;0.06399;-0.00636;AAPL;2025-03-12
